algorithm_name,len_universe,len_X,len_F,len_G,exe_time
algorithm 1_poly,100,5,39994,39886,1.4385600090026855
algorithm 1_poly,100,5,47966,47876,1.5639779567718506
algorithm 1_poly,100,5,55848,55885,2.0045928955078125
algorithm 1_poly,100,5,63913,63845,2.464411735534668
algorithm 1_poly,100,5,72048,71724,2.5673165321350098
algorithm 1_poly,100,5,79959,79759,3.1228137016296387
algorithm 1_poly,100,5,8040,7873,0.20821690559387207
algorithm 1_poly,100,5,15990,15889,0.39913177490234375
algorithm 1_poly,100,5,24115,23823,0.7643108367919922
algorithm 1_poly,100,5,31952,31843,1.0673799514770508
algorithm 1_poly,100,5,39994,39886,1.2632226943969727
algorithm 1_poly,100,5,47966,47876,1.5251805782318115
algorithm 1_poly,100,5,55848,55885,1.9655802249908447
algorithm 1_poly,100,5,63913,63845,2.4867212772369385
algorithm 1_poly,100,5,72048,71724,2.802885055541992
algorithm 1_poly,100,5,79959,79759,2.945375919342041
algorithm 1_poly,100,5,8040,7873,0.19823479652404785
algorithm 1_poly,100,5,15990,15889,0.39378905296325684
algorithm 1_poly,100,5,24115,23823,0.7832236289978027
algorithm 1_poly,100,5,31952,31843,1.0327212810516357
algorithm 1_poly,100,5,39994,39886,1.2706410884857178
algorithm 1_poly,100,5,47966,47876,1.5086135864257812
algorithm 1_poly,100,5,55848,55885,1.995464563369751
algorithm 1_poly,100,5,63913,63845,2.4514033794403076
algorithm 1_poly,100,5,72048,71724,2.8006107807159424
algorithm 1_poly,100,5,79959,79759,2.9583358764648438
algorithm 1_poly,100,5,15909,16073,0.3653440475463867
algorithm 1_poly,100,5,31752,32202,0.9124574661254883
algorithm 1_poly,100,5,48026,48199,1.6915874481201172
algorithm 1_poly,100,5,64012,64167,1.955012559890747
algorithm 1_poly,100,5,80012,80097,2.871063709259033
algorithm 1_poly,100,5,95902,96133,3.3689377307891846
algorithm 1_poly,100,5,111897,112016,3.9365360736846924
algorithm 1_poly,100,5,127747,128146,5.245396375656128
algorithm 1_poly,100,5,143803,144120,5.8281779289245605
algorithm 1_poly,100,5,159437,160015,6.549238204956055
algorithm 1_poly,100,5,79934,79541,3.0140411853790283
algorithm 1_poly,100,5,159334,159635,5.840891122817993
algorithm 1_poly,100,5,238796,239642,7.826678514480591
algorithm 1_poly,100,5,318484,319581,11.886404752731323
algorithm 1_poly,100,5,398274,399505,14.178675413131714
algorithm 1_poly,100,5,478136,478895,17.36324405670166
algorithm 1_poly,100,5,558175,558541,21.73394274711609
algorithm 1_poly,100,5,637734,638412,23.696038007736206
algorithm 1_poly,100,5,717180,718400,27.65358877182007
algorithm 1_poly,100,5,796511,798104,32.57358980178833
algorithm 1_poly,100,5,798300,798049,20.06704545021057
